size,model,runtime,data
49.1,SVC_poly_5,0.0030736923217773,diabetes
98.2,SVC_poly_5,0.0040490627288818,diabetes
147.3,SVC_poly_5,0.0049066543579101,diabetes
196.4,SVC_poly_5,0.0148723125457763,diabetes
245.5,SVC_poly_5,0.025496482849121,diabetes
294.6,SVC_poly_5,0.0364832878112793,diabetes
343.70000000000005,SVC_poly_5,0.0247445106506347,diabetes
392.8,SVC_poly_5,0.0484654903411865,diabetes
441.9,SVC_poly_5,0.0674099922180175,diabetes
491.0,SVC_poly_5,0.0991063117980957,diabetes
49.1,Pegasos QSVC,341.0339345932007,diabetes
98.2,Pegasos QSVC,647.2138442993164,diabetes
147.3,Pegasos QSVC,718.9219601154327,diabetes
196.4,Pegasos QSVC,709.6455020904541,diabetes
245.5,Pegasos QSVC,822.6409368515015,diabetes
294.6,Pegasos QSVC,760.3605978488922,diabetes
343.70000000000005,Pegasos QSVC,1034.735651254654,diabetes
392.8,Pegasos QSVC,1096.731648683548,diabetes
441.9,Pegasos QSVC,1138.731392621994,diabetes
491.0,Pegasos QSVC,743.2672624588013,diabetes
49.1,QSVC,17.927670001983643,diabetes
98.2,QSVC,72.46498513221741,diabetes
147.3,QSVC,169.24417996406555,diabetes
196.4,QSVC,3247.0158729553223,diabetes
245.5,QSVC,1242.398566007614,diabetes
294.6,QSVC,1254.2907099723816,diabetes
343.70000000000005,QSVC,1681.9767138957975,diabetes
392.8,QSVC,1914.0800428390503,diabetes
441.9,QSVC,2636.3835101127625,diabetes
491.0,QSVC,3669.962322950363,diabetes
157.8,SVC_linear,0.0048968791961669,room
315.6,SVC_linear,0.0051400661468505,room
473.4000000000001,SVC_linear,0.0065865516662597,room
631.2,SVC_linear,0.0076484680175781,room
789.0,SVC_linear,0.0120034217834472,room
946.8,SVC_linear,0.0137748718261718,room
1104.6,SVC_linear,0.0145044326782226,room
1262.4,SVC_linear,0.0141220092773437,room
1420.2,SVC_linear,0.0149340629577636,room
1578.0,SVC_linear,0.0178790092468261,room
157.8,QSVC,99.4639241695404,room
315.6,QSVC,410.9017472267151,room
473.4000000000001,QSVC,965.0213491916656,room
631.2,QSVC,1874.9913370609283,room
789.0,QSVC,3118.2092866897583,room
946.8,QSVC,4883.788236379623,room
1104.6,QSVC,7433.716777801514,room
1262.4,QSVC,12107.955869674684,room
1420.2,QSVC,22555.985707759857,room
1578.0,QSVC,38584.82303524017,room
157.8,Pegasos QSVC,42.66394090652466,room
315.6,Pegasos QSVC,50.91049098968506,room
473.4000000000001,Pegasos QSVC,40.95414400100708,room
631.2,Pegasos QSVC,45.255518198013306,room
789.0,Pegasos QSVC,48.52131199836731,room
946.8,Pegasos QSVC,39.31286883354187,room
1104.6,Pegasos QSVC,42.33348393440247,room
1262.4,Pegasos QSVC,39.32800579071045,room
1420.2,Pegasos QSVC,53.55950427055359,room
1578.0,Pegasos QSVC,39.02397394180298,room
55.6,Pegasos QSVC,137.4403932094574,predictive maintenance
111.2,Pegasos QSVC,202.31148290634155,predictive maintenance
166.8,Pegasos QSVC,249.78282690048212,predictive maintenance
222.4,Pegasos QSVC,253.4295163154602,predictive maintenance
