num_features,model,runtime,data
1.0,SVC_linear,0.0210621356964111,diabetes
2.0,SVC_linear,0.0178055763244628,diabetes
3.0,SVC_linear,0.0118045806884765,diabetes
4.0,SVC_linear,0.0116641521453857,diabetes
5.0,SVC_linear,0.0118732452392578,diabetes
6.0,SVC_linear,0.0122323036193847,diabetes
7.0,SVC_linear,0.0120003223419189,diabetes
8.0,SVC_linear,0.0129797458648681,diabetes
1.0,SVC_rbf,0.0349707603454589,diabetes
2.0,SVC_rbf,0.017127513885498,diabetes
3.0,SVC_rbf,0.0178556442260742,diabetes
4.0,SVC_rbf,0.017773151397705,diabetes
5.0,SVC_rbf,0.0176863670349121,diabetes
6.0,SVC_rbf,0.0179381370544433,diabetes
7.0,SVC_rbf,0.0187025070190429,diabetes
8.0,SVC_rbf,0.0182576179504394,diabetes
2.0,Pegasos QSVC,39.94274950027466,diabetes
3.0,Pegasos QSVC,77.41471362113953,diabetes
4.0,Pegasos QSVC,123.93903255462646,diabetes
5.0,Pegasos QSVC,176.69473004341123,diabetes
6.0,Pegasos QSVC,280.09493041038513,diabetes
7.0,Pegasos QSVC,365.46150946617126,diabetes
8.0,Pegasos QSVC,795.7364392280579,diabetes
2.0,QSVC,236.62639999389648,diabetes
3.0,QSVC,582.2195479869843,diabetes
4.0,QSVC,761.9083268642426,diabetes
5.0,QSVC,2408.982537984848,diabetes
6.0,QSVC,1107.2230048179626,diabetes
7.0,QSVC,1591.6543850898745,diabetes
8.0,QSVC,2338.43257188797,diabetes
