num_features,model,runtime,data
1.0,SVC_linear,0.0558462142944335,room
2.0,SVC_linear,0.0470848083496093,room
3.0,SVC_linear,0.0223817825317382,room
4.0,SVC_linear,0.0179870128631591,room
5.0,SVC_linear,0.0215187072753906,room
1.0,SVC_rbf,0.1206433773040771,room
2.0,SVC_rbf,0.0786857604980468,room
3.0,SVC_rbf,0.0191154479980468,room
4.0,SVC_rbf,0.0192606449127197,room
5.0,SVC_rbf,0.0238256454467773,room
2.0,QSVC,11266.55714416504,room
3.0,QSVC,15409.895641088486,room
4.0,QSVC,24624.949368476868,room
5.0,QSVC,38899.94357323647,room
2.0,Pegasos QSVC,13.811245679855348,room
3.0,Pegasos QSVC,19.94576382637024,room
4.0,Pegasos QSVC,19.589895963668823,room
5.0,Pegasos QSVC,45.69813585281372,room
