size,model,runtime,data
55.6,Pegasos QSVC,137.4403932094574,predictive maintenance
111.2,Pegasos QSVC,202.31148290634155,predictive maintenance
166.8,Pegasos QSVC,249.78282690048215,predictive maintenance
222.4,Pegasos QSVC,253.4295163154602,predictive maintenance
278.0,Pegasos QSVC,270.9536819458008,predictive maintenance
333.6,Pegasos QSVC,284.64882040023804,predictive maintenance
389.2000000000001,Pegasos QSVC,286.05956268310547,predictive maintenance
444.8,Pegasos QSVC,284.7200171947479,predictive maintenance
500.4,Pegasos QSVC,283.73181986808777,predictive maintenance
556.0,Pegasos QSVC,268.3814072608948,predictive maintenance
55.6,SVC_poly_3,0.0028417110443115,predictive maintenance
111.2,SVC_poly_3,0.0021429061889648,predictive maintenance
166.8,SVC_poly_3,0.0028629302978515,predictive maintenance
222.4,SVC_poly_3,0.0031397342681884,predictive maintenance
278.0,SVC_poly_3,0.0038416385650634,predictive maintenance
333.6,SVC_poly_3,0.0044760704040527,predictive maintenance
389.2000000000001,SVC_poly_3,0.0057094097137451,predictive maintenance
444.8,SVC_poly_3,0.0073018074035644,predictive maintenance
500.4,SVC_poly_3,0.0113770961761474,predictive maintenance
556.0,SVC_poly_3,0.0094990730285644,predictive maintenance
55.6,QSVC,18.367398500442505,predictive maintenance
111.2,QSVC,67.81121015548706,predictive maintenance
166.8,QSVC,158.46748638153076,predictive maintenance
222.4,QSVC,295.56463527679443,predictive maintenance
278.0,QSVC,472.2777020931244,predictive maintenance
333.6,QSVC,687.1487760543823,predictive maintenance
389.2000000000001,QSVC,916.5832931995392,predictive maintenance
444.8,QSVC,1215.5978672504425,predictive maintenance
500.4,QSVC,1573.276822566986,predictive maintenance
556.0,QSVC,2005.2534437179563,predictive maintenance
